message,label,target_type,severity,severity_score
"Vxrc, nee full time late bartiya dude. #5a76",Insult,Individual,Low,0.17
exam tumba tough aaytu but somehow aaytu. #30dc,Neutral,Individual,Low,0
"Ykdcmd, elli hogidaroo ade tara madthiya, complete waste fellow anta feel agutte. #3057",Harassment,Individual,Low,0.46
"Crjutlsgw, sir ge complaint haakthini nodu, swalpa limit nodu yaar. #eab0",Threat,Individual,High,0.94
"Ioulfllgv, elli hogidaroo ade tara madthiya, tumba irritating agthiya re anta feel agutte. #a550",Harassment,Individual,High,0.78
"Vkyybh, nee ivattu full lazy mode alli idiya yaar. #add3",Insult,Individual,Low,0.22
naale extra pen togond baa pls. #b4c3,Neutral,Unknown,Low,0
"network sakkath slow ide, once repeat maadu. #fae6",Neutral,Unknown,Low,0.03
"naale 9 gante lab ge bartira, late agbeda. #dd32",Neutral,Group,Low,0.02
pizza bekka biryani bekka decide maadi. #e92a,Neutral,Individual,Low,0.02
"Padlzjhb, nee sakkat dumb idiya yaar re. #60e0",Insult,Individual,Medium,0.29
fest practice ge yar yar barthidira. #717e,Neutral,Group,Low,0
"Mvuloqo, nanna status na yavaglu check madthiya, idu stalking tara kanstide. #74be",Cyberstalking,Individual,High,0.83
weekend ge yava movie nodona. #c67a,Neutral,Individual,Low,0
"Hzpzngddvn, nee ivattu full lazy mode alli idiya machaa. #c653",Insult,Individual,Low,0.25
project help madidakke thanks maga. #0ac1,Neutral,Individual,Low,0.03
"Ozrd, nee full time late bartiya yaar. #054e",Insult,Individual,Low,0.15
"Pgmbfmamiz, prati dina reason illade ping madbedi, idu stalking tara kanstide. #7e3f",Cyberstalking,Individual,High,0.83
"Egjgbsxrbx, nee sakkat dumb idiya yaar machaa. #c6ef",Insult,Individual,Medium,0.39
"Fctc, nee sakkat dumb idiya yaar re. #22e6",Insult,Individual,Medium,0.39
"class grp, ivananna group inda remove maadona, ivan illaadre better ansta. #c3ac",Exclusion,Group,Medium,0.36
"Okycaot, nee reply nodoke tumba time togondiya yaar. #f849",Insult,Individual,Low,0.16
"Ljforw, nee full time late bartiya machaa. #399b",Insult,Individual,Low,0.18
"Iddxr, nee tumba irritating agthiya re re. #5ee4",Insult,Individual,Medium,0.41
"Qpibcun, nee sakkat dumb idiya yaar machaa. #d2b7",Insult,Individual,Medium,0.22
"ninna presentation super aaytu, chennag ide. #8f97",Neutral,Unknown,Low,0
"class grp, ivananna group inda remove maadona, ivan illaadre better ansta. #c054",Exclusion,Group,Medium,0.45
"Txehfzzfn, nee tumba irritating agthiya re yaar. #e229",Insult,Individual,Medium,0.26
"Ifzwdm, elli hogidaroo ade tara madthiya, class nalli full time joker ne anta feel agutte. #2f63",Harassment,Individual,Medium,0.63
exam tumba tough aaytu but somehow aaytu. #b0c4,Neutral,Group,Low,0.03
"Dif, nee full time late bartiya machaa. #97ab",Insult,Individual,Low,0.4
"Msgi, nee full time late bartiya yaar. #9384",Insult,Individual,Low,0.33
"Lncvkt, nee tumba disgusting behaviour machaa. #0a06",Insult,Individual,High,0.45
"Gnvmv, nee tumba irritating agthiya re re. #4676",Insult,Individual,Medium,0.26
"5 nimisha nalli join agthini, swalpa wait maadu. #a79c",Neutral,Unknown,Low,0.02
"happy birthday, tumba olle varsha agli. #4392",Neutral,Unknown,Low,0.02
"network sakkath slow ide, once repeat maadu. #0e44",Neutral,Unknown,Low,0.01
"Uwayy, nee useless tara behave madthiya yaar. #b7f3",Insult,Individual,Medium,0.26
"5 nimisha nalli join agthini, swalpa wait maadu. #0d4d",Neutral,Unknown,Low,0.05
"Txqnrofxpo, nee tumba irritating agthiya re machaa. #dea7",Insult,Individual,Medium,0.26
"Wjhi, elli hogidaroo ade tara madthiya, useless tara behave madthiya anta feel agutte. #a548",Harassment,Individual,Medium,0.59
project help madidakke thanks maga. #6e75,Neutral,Group,Low,0
pizza bekka biryani bekka decide maadi. #5cc5,Neutral,Group,Low,0.05
"Phinpa, elli hogidaroo ade tara madthiya, tumba disgusting behaviour anta feel agutte. #1da4",Harassment,Individual,High,0.79
"Mss, elli hogidaroo ade tara madthiya, tumba disgusting behaviour anta feel agutte. #1063",Harassment,Individual,High,0.82
"ninna presentation super aaytu, chennag ide. #577e",Neutral,Group,Low,0
ivattu assignment submit maadbeku maga. #609c,Neutral,Unknown,Low,0.03
attendance link haakbidu illi. #c11a,Neutral,Individual,Low,0
"Mwgcswuhd, nee complete waste fellow machaa. #0e40",Insult,Individual,High,0.42
"Cqukanpd, elli hogidaroo ade tara madthiya, yen use illa ninna jothe anta feel agutte. #88b8",Harassment,Individual,Medium,0.37
"Tzrypon, elli hogidaroo ade tara madthiya, class nalli full time joker ne anta feel agutte. #1d23",Harassment,Individual,Medium,0.66
"Stvmkapkfp, mundina sari nodu yen agutte anta, swalpa limit nodu yaar. #aae8",Threat,Individual,Low,0.89
naale extra pen togond baa pls. #0ac0,Neutral,Individual,Low,0.05
"Jhmw, nee tumba irritating agthiya re re. #d18b",Insult,Individual,Medium,0.31
"naale 9 gante lab ge bartira, late agbeda. #692e",Neutral,Unknown,Low,0
"Ixsyqtjdgj, nee useless tara behave madthiya re. #c14d",Insult,Individual,Medium,0.19
"naale 9 gante lab ge bartira, late agbeda. #8c3d",Neutral,Individual,Low,0
"Ipd, nee class nalli full time joker ne yaar. #ba6b",Insult,Individual,Medium,0.27
"network sakkath slow ide, once repeat maadu. #bcc4",Neutral,Unknown,Low,0
"Jsnjstbtxd, nee tumba irritating agthiya re re. #7fd4",Insult,Individual,Medium,0.38
"Now, nee full time late bartiya dude. #e048",Insult,Individual,Low,0.13
"naale 9 gante lab ge bartira, late agbeda. #c63c",Neutral,Unknown,Low,0.03
"naale 9 gante lab ge bartira, late agbeda. #2907",Neutral,Group,Low,0
"Octbnxktia, nee sakkat dumb idiya yaar yaar. #ad3f",Insult,Individual,Medium,0.43
"Pquoi, prati dina reason illade ping madbedi, idu stalking tara kanstide. #6f31",Cyberstalking,Individual,High,0.59
"Kvdfknwp, nee sakkat dumb idiya yaar machaa. #6f9a",Insult,Individual,Medium,0.17
ivattu class full bore aaytu. #5efd,Neutral,Unknown,Low,0
"happy birthday, tumba olle varsha agli. #4ec2",Neutral,Unknown,Low,0
attendance link haakbidu illi. #3866,Neutral,Unknown,Low,0.01
"Remgtqxeci, elli hogidaroo ade tara madthiya, complete waste fellow anta feel agutte. #9aff",Harassment,Individual,Medium,0.54
"Eorplkryrm, sir ge complaint haakthini nodu, swalpa limit nodu yaar. #21b3",Threat,Individual,Medium,0.76
"Bkxpwzmmv, yake everywhere message madthiya, idu stalking tara kanstide. #6268",Cyberstalking,Individual,Medium,0.62
"network sakkath slow ide, once repeat maadu. #ecf7",Neutral,Unknown,Low,0.04
"Uckvrmkuw, yake everywhere message madthiya, idu stalking tara kanstide. #7985",Cyberstalking,Individual,Low,0.7
"Xcndyu, nee reply nodoke tumba time togondiya yaar. #c1f7",Insult,Individual,Low,0.29
"Llnehqn, nee total loser tara idiya re. #6629",Insult,Individual,High,0.25
exam tumba tough aaytu but somehow aaytu. #4b2b,Neutral,Unknown,Low,0.04
"5 nimisha nalli join agthini, swalpa wait maadu. #40db",Neutral,Group,Low,0.05
ninne function photos share maadu. #2a2d,Neutral,Group,Low,0
fest practice ge yar yar barthidira. #3a08,Neutral,Group,Low,0.05
yavdru ivattu notes idre send maadu pls. #2765,Neutral,Unknown,Low,0
exam tumba tough aaytu but somehow aaytu. #852e,Neutral,Group,Low,0
"Ceyhvxvmzr, prati dina reason illade ping madbedi, idu stalking tara kanstide. #5eec",Cyberstalking,Individual,Medium,0.81
fest practice ge yar yar barthidira. #f1f5,Neutral,Unknown,Low,0
"happy birthday, tumba olle varsha agli. #430e",Neutral,Unknown,Low,0.02
yavdru ivattu notes idre send maadu pls. #3c3f,Neutral,Unknown,Low,0.01
"naale 9 gante lab ge bartira, late agbeda. #a00b",Neutral,Group,Low,0.02
"review okay aaytu, tension beda. #1129",Neutral,Individual,Low,0
naale 4gante canteen nalli meet aagona. #1bfe,Neutral,Individual,Low,0.01
"Alzzh, nee useless tara behave madthiya machaa. #4822",Insult,Individual,Medium,0.2
"review okay aaytu, tension beda. #f91e",Neutral,Individual,Low,0
"5 nimisha nalli join agthini, swalpa wait maadu. #33f3",Neutral,Individual,Low,0
"guys, ivananna group inda remove maadona, ivan illaadre better ansta. #2a74",Exclusion,Group,Low,0.17
