message,label,target_type,severity,severity_score
stop talking nonsense nin matu beka illa don't you think?,insult,individual,medium,0.3
Assignment yavaglu submit madbeku,neutral,unknown,medium,0.02
I think yaake nanna hinde bartiya right now.,harassment,individual,medium,0.45
Thanks slides share madiddakke,neutral,unknown,medium,0.02
"Stop it, mind your own business nin work nodko ... whatever.",aggression,individual,medium,0.55
"Look, neenu hopeless yaake heege",insult,individual,medium,0.3
"Basically, just wait and watch ninige lesson sigutte",threat,individual,medium,0.82
yaake nanna follow madthiya everywhere,harassment,individual,medium,0.45
your kind spoils the environment and it's annoying.,hate,individual,medium,0.75
Please check the group description swalpa,neutral,unknown,medium,0.02
stop talking nonsense nin matu beda for real.,aggression,individual,medium,0.55
"Look, your kind spoils the environment",hate,individual,medium,0.75
why do you follow everything i do,stalking,individual,medium,0.62
this chat is very unhealthy and it's sad.,toxicity,individual,medium,0.5
ninige nanna online time gothu how without a doubt.,stalking,individual,medium,0.62
It's obvious that yaake nanna hinde bartiya,harassment,individual,medium,0.45
"Hey, nin illade better agide period.",exclusion,individual,medium,0.42
ninige nanna online time gothu how for real.,stalking,individual,medium,0.62
neenu full dumb yaake heege,insult,individual,medium,0.3
back off right now nin hinde hogu,aggression,individual,medium,0.55
Good morning everyone ellargu,neutral,unknown,high,0.07
"To be honest, this chat is exhausting full headache ... whatever.",toxicity,individual,medium,0.5
Is there any update on results ivattu,neutral,unknown,medium,0.02
"Actually, stay out of my matters nin hogu don't you think?",aggression,individual,medium,0.55
"Seriously, dont involve yourself nin beka illa and it's annoying.",exclusion,individual,medium,0.42
"Hey, Assignment yavaglu submit madbeku",neutral,unknown,medium,0.02
Did anyone finish the project work,neutral,unknown,medium,0.02
people here are very problematic and everyone agrees.,toxicity,individual,high,0.55
ninige simple vishaya kuda artha agalla,insult,individual,medium,0.3
remember this moment ninige gothagutte for sure.,threat,individual,medium,0.82
"Hey, Is the class online or offline naale",neutral,unknown,medium,0.02
It's obvious that you cant escape from this ninige illa,threat,individual,medium,0.82
"To be honest, you wont get away with this",threat,individual,medium,0.82
dont involve yourself nin beka illa,exclusion,individual,medium,0.42
this group has become so toxic ella negative agide,toxicity,individual,medium,0.5
i will complain about you sir ge helthini,threat,individual,medium,0.82
It's obvious that better nin illade nadithivi and it's sad.,exclusion,individual,medium,0.42
"Hey, Good morning everyone ellargu",neutral,unknown,high,0.07
dont think this will go unnoticed - just my opinion.,threat,individual,medium,0.82
"Listen, this chat is mentally draining thale noovu",toxicity,individual,medium,0.5
Can someone share the notes ivattu,neutral,unknown,medium,0.02
"Hey, Thanks slides share madiddakke",neutral,unknown,medium,0.02
