message,label,target_type,severity_score,severity_level,context
"Icy, nee full sucide tara behave madthiya. #3f5b",Threat,Individual,0.43,high,whatsapp_group_chat
"Kbfekrkw, you are such a dickhole in this group. #1ab8",Sexual Harassment,Individual,0.76,high,whatsapp_group_chat
"Kxo, you are such a pissflaps in this group. #8010",Insult,Individual,0.42,medium,whatsapp_group_chat
"Only a asswipe will spam the group like you, Nspipby. #609d",Insult,Individual,0.59,medium,whatsapp_group_chat
"Ivattu kooda sucide tara act madtidya, Amyuqnvr. #cda2",Threat,Individual,0.61,medium,whatsapp_group_chat
"Yuf, nee tumba thotha maga tara idiya maga. #93a4",Insult,Individual,0.41,medium,whatsapp_group_chat
"Cxomsykag, yaaru kuda ninna idiot thara nature ishta padalla. #ce9d",Insult,Individual,0.81,high,whatsapp_group_chat
"Group nalli a tara thotha baribeda, Ujp. #df99",Insult,Individual,0.48,high,whatsapp_group_chat
"Yobaeogai, nin ninna hendruna keya nataka nodakke bore aaytu. #a72a",Sexual Harassment,Individual,0.35,medium,whatsapp_group_chat
"People are tired of your piss off attitude, Wccnazrm. #f653",Harassment,Individual,0.52,high,whatsapp_group_chat
"Group nalli a tara haavu bro neenu maga baribeda, Nlauufnc. #1346",Harassment,Individual,0.66,medium,whatsapp_group_chat
"Group nalli ee not a loyal attitude beda, Yqm. #77c2",Harassment,Individual,0.55,high,whatsapp_group_chat
"Ninna idiot thara behavior nodi everyone frustrate agta idare, Erkqdufz. #e23d",Insult,Individual,0.56,high,whatsapp_group_chat
"Only a taking the piss will spam the group like you, Xxxwvojnzy. #c203",Harassment,Individual,0.6,high,whatsapp_group_chat
"Rxlh, nin le niga nataka nodakke bore aaytu. #cbd0",Harassment,Individual,0.54,medium,whatsapp_group_chat
"Imbqcgqg, nee tumba dagarina maga tara idiya maga. #eadf",Insult,Individual,0.45,medium,whatsapp_group_chat
"Krre, ivattu full hucchadanta mode nalli idiya. #7be9",Insult,Individual,0.62,high,whatsapp_group_chat
"Iws, nin tullna keya nataka nodakke bore aaytu. #69f8",Sexual Harassment,Individual,0.78,high,whatsapp_group_chat
"Ninna cry baby behavior nodi everyone frustrate agta idare, Zzt. #3a0c",Harassment,Individual,0.38,medium,whatsapp_group_chat
"Group nalli a tara singri maga baribeda, Lvnklgyokz. #3d0f",Insult,Individual,0.43,high,whatsapp_group_chat
"Frmlcjd, ivattu full sexy bro mode nalli idiya. #5c31",Sexual Harassment,Individual,0.46,low,whatsapp_group_chat
"Dosywkh, yaaru kuda ninna sucide nature ishta padalla. #2baf",Threat,Individual,0.57,medium,whatsapp_group_chat
"Group nalli ee joker thara attitude beda, Qsikbfdanv. #4b28",Insult,Individual,0.54,medium,whatsapp_group_chat
"Lhtboqty, ivattu full nimavvan mode nalli idiya. #1956",Harassment,Individual,0.51,medium,whatsapp_group_chat
"Ijfn, you are such a asexual in this group. #b4ec",Sexual Harassment,Individual,0.55,low,whatsapp_group_chat
"Ninna sakath body behavior nodi everyone frustrate agta idare, Qfyxqgj. #b484",Harassment,Individual,0.38,medium,whatsapp_group_chat
"Yella dina gaandu tara mathadbeda, Zgqcumn. #6fe3",Insult,Individual,0.48,low,whatsapp_group_chat
"Epegghbh, nee tumba nin thullu keya tara idiya maga. #7ef5",Sexual Harassment,Individual,0.43,high,whatsapp_group_chat
"Yella dina die mad tara mathadbeda, Bhx. #c42a",Threat,Individual,0.52,high,whatsapp_group_chat
"This bozo behaviour is not okay, Gqaxlzeo. #8e4b",Insult,Individual,0.53,medium,whatsapp_group_chat
"People are tired of your cockfoam attitude, Cpbjepxxd. #1a76",Sexual Harassment,Individual,0.36,medium,whatsapp_group_chat
"Lgmbdqy, stop acting like a total rubbish every day. #99d2",Insult,Individual,0.49,high,whatsapp_group_chat
"This sex behaviour is not okay, Epeafzzck. #de8e",Sexual Harassment,Individual,0.73,medium,whatsapp_group_chat
"Bed, nee full sexy bro tara behave madthiya. #74fb",Sexual Harassment,Individual,0.51,medium,whatsapp_group_chat
"Hhznkv, you are such a choad in this group. #3ea0",Insult,Individual,0.52,medium,whatsapp_group_chat
"This bloody hell behaviour is not okay, Brc. #77f8",Harassment,Individual,0.55,medium,whatsapp_group_chat
"Nrlluen, ivattu full die mad mode nalli idiya. #308a",Threat,Individual,0.61,medium,whatsapp_group_chat
"Qyaujcmx, stop acting like a total sexy every day. #fb87",Sexual Harassment,Individual,0.74,high,whatsapp_group_chat
"Yella dina thotha tara mathadbeda, Muvcgg. #3dc3",Insult,Individual,0.73,medium,whatsapp_group_chat
"Group nalli a tara dagarina maga baribeda, Maixa. #3c71",Insult,Individual,0.41,medium,whatsapp_group_chat
"Idcl, stop acting like a total nigga every day. #f599",Harassment,Individual,0.47,low,whatsapp_group_chat
"Vrdk, stop acting like a total sexy every day. #357f",Sexual Harassment,Individual,0.44,high,whatsapp_group_chat
"Group nalli a tara hucchadana baribeda, Yoml. #d263",Insult,Individual,0.51,medium,whatsapp_group_chat
"Zne, nee tumba bosodina tara idiya maga. #a657",Harassment,Individual,0.53,medium,whatsapp_group_chat
"Only a naked will spam the group like you, Jcadzsmis. #3af7",Sexual Harassment,Individual,0.54,high,whatsapp_group_chat
"Ninna monkey thara behavior nodi everyone frustrate agta idare, Avejjgng. #ae3b",Insult,Individual,0.71,high,whatsapp_group_chat
"Group nalli ee sexy baby attitude beda, Rhc. #fc55",Sexual Harassment,Individual,0.67,medium,whatsapp_group_chat
"Cgcobrjw, you are such a stupid in this group. #818d",Insult,Individual,0.66,high,whatsapp_group_chat
"Nzx, ivattu full kembatti mode nalli idiya. #8b59",Insult,Individual,0.43,medium,whatsapp_group_chat
"Ivattu kooda dove rani tara act madtidya, Vvdcbgevz. #4de3",Harassment,Individual,0.51,medium,whatsapp_group_chat
