message,label,target_type,severity,severity_score
everyone laughs at you don't you think?,insult,individual,high,0.35
"Hey, I missed the lecture today.",neutral,unknown,medium,0.02
I think dont follow up again please right now.,harassment,individual,medium,0.45
Thanks for sharing the slides.,neutral,unknown,medium,0.02
"Stop it, keep quiet please ... whatever.",aggression,individual,medium,0.55
"Look, you are not smart enough for this",insult,appearance,medium,0.3
"Basically, i will report this to sir",threat,teacher,medium,0.82
dont keep asking the same thing,harassment,appearance,medium,0.45
your kind spoils the environment and it's annoying.,hate,gender,medium,0.75
Please check the group description.,neutral,unknown,medium,0.02
"women, dont interfere in this",aggression,gender,medium,0.55
"Basically, i told you already dont text me",harassment,individual,medium,0.45
What time is the assignment due?,neutral,gender,medium,0.02
"Honestly, go away from here for real.",aggression,individual,medium,0.55
"Honestly, people like you make everything dirty",hate,individual,medium,0.75
Let's work together on this.,neutral,unknown,medium,0.02
"Hey, Can we meet after class?",neutral,unknown,medium,0.02
"Hey, you are not required period.",exclusion,individual,medium,0.42
why do you remember my timings,stalking,individual,medium,0.62
Can someone share the notes from today?,neutral,academic,medium,0.02
"nature, how many times should i say no",harassment,personal,medium,0.45
Please check the group description. Thanks.,neutral,unknown,medium,0.02
this environment is really bad and it's sad.,toxicity,gender,medium,0.5
Is there any update on the results??,neutral,academic,medium,0.02
"Actually, go mind your work don't you think?",aggression,individual,medium,0.55
"Seriously, this is between us only and it's annoying.",exclusion,individual,high,0.47
"Hey, What time is the assignment due?",neutral,gender,medium,0.02
Can we meet after class??,neutral,unknown,medium,0.02
Did anyone finish the assignment??,neutral,gender,medium,0.02
you wont get away with this,threat,individual,medium,0.82
why are you so behind me and it's annoying.,harassment,individual,medium,0.45
"To be honest, dont message me late night - just my opinion.",harassment,individual,medium,0.45
I missed the lecture today.,neutral,unknown,medium,0.02
Is there any update on the results?,neutral,academic,medium,0.02
"project, dont message me late night",harassment,academic,medium,0.45
"Hey, Where can I find the syllabus?",neutral,academic,medium,0.02
you make everything worse - just my opinion.,insult,individual,medium,0.3
Let's work together on this. Thanks.,neutral,unknown,medium,0.02
dont think this will go unnoticed,threat,individual,medium,0.82
Good morning everyone.,neutral,unknown,high,0.07
It's obvious that this is only for selected people and it's sad.,exclusion,individual,medium,0.42
The project deadline is approaching.,neutral,academic,medium,0.02
"Honestly, why do you keep observing me immediately.",stalking,individual,medium,0.62
"Listen, this place feels unhealthy",toxicity,individual,medium,0.5
Can someone share the notes from today??,neutral,academic,medium,0.02
"Hey, Thanks for sharing the slides.",neutral,unknown,medium,0.02
stop talking rubbish,insult,individual,medium,0.3
"this section, your type always ruins things",hate,group,high,0.8
"Look, why are you noticing my movements",stalking,gender,medium,0.62
"Basically, this place is full of nonsense (no offense).",toxicity,individual,low,0.45
stay out of my matters,aggression,individual,medium,0.55
"Look, i told you already dont text me !!!",harassment,appearance,medium,0.45
"Listen, stop forcing conversation",harassment,individual,medium,0.45
"Hey, please remove yourself",exclusion,individual,medium,0.42
"sir, why cant you just stop",harassment,teacher,medium,0.45
"To be honest, use your brain once",insult,individual,medium,0.3
"Just so you know, this chat is exhausting right now.",toxicity,group,medium,0.5
Where can I find the syllabus?,neutral,academic,medium,0.02
"Hey, this environment is really bad",toxicity,gender,medium,0.5
people like you are always the problem,hate,individual,high,0.8
"class teacher, you dont need to be here",exclusion,teacher,medium,0.42
"Hey, Good morning everyone.",neutral,unknown,high,0.07
"you guys, mind your own business",aggression,group,medium,0.55
"internals, go mind your work",aggression,academic,medium,0.55
"Hey, why do you remember my timings",stalking,individual,medium,0.62
you are done now period.,threat,individual,medium,0.82
"Stop it, why are you messaging me again so please stop.",harassment,individual,medium,0.45
It's obvious that why are you so behind me,harassment,individual,medium,0.45
Thanks for sharing the slides. Thanks.,neutral,unknown,medium,0.02
"girls, you are useless in group work",insult,gender,medium,0.3
you are not invited to this,exclusion,individual,medium,0.42
you are not invited to this so please stop.,exclusion,individual,medium,0.42
When is the next lab session? Thanks.,neutral,unknown,medium,0.02
"Hey, remember this moment period.",threat,gender,medium,0.82
"In my opinion, use your brain once ... whatever.",insult,individual,medium,0.3
When is the next lab session?,neutral,unknown,medium,0.02
