anon_id,message,label,target_type,severity,severity_score,source
ANON_0001,[USR] laughs at you don't you think?,insult,individual,high,0.35,english
ANON_0002,"Hey, I missed the lecture today.",neutral,unknown,medium,0.02,english
ANON_0003,I think dont follow up again please right now.,harassment,individual,medium,0.45,english
ANON_0004,Thanks for sharing the slides.,neutral,unknown,medium,0.02,english
ANON_0005,"Stop it, keep quiet please ... whatever.",aggression,individual,medium,0.55,english
ANON_0006,"Look, you are not smart enough for this",insult,appearance,medium,0.3,english
ANON_0007,"Basically, i will report this to [AUTHORITY]",threat,teacher,medium,0.82,english
ANON_0008,dont keep asking the same thing,harassment,appearance,medium,0.45,english
ANON_0009,your kind spoils the environment and it's annoying.,hate,gender,medium,0.75,english
ANON_0010,Please check the group description.,neutral,unknown,medium,0.02,english
ANON_0011,"[GENDER], dont interfere in this",aggression,gender,medium,0.55,english
ANON_0012,"Basically, i told you already dont text me",harassment,individual,medium,0.45,english
ANON_0013,What time is the assignment due?,neutral,gender,medium,0.02,english
ANON_0014,"Honestly, go away from here for real.",aggression,individual,medium,0.55,english
ANON_0015,"Honestly, people like you make everything dirty",hate,individual,medium,0.75,english
ANON_0016,Let's work together on this.,neutral,unknown,medium,0.02,english
ANON_0017,"Hey, Can we meet after class?",neutral,unknown,medium,0.02,english
ANON_0018,"Hey, you are not required period.",exclusion,individual,medium,0.42,english
ANON_0019,why do you remember my timings,stalking,individual,medium,0.62,english
ANON_0020,Can someone share the notes from today?,neutral,academic,medium,0.02,english
ANON_0021,"[USR], how many times should i say no",harassment,personal,medium,0.45,english
ANON_0022,Please check the group description. Thanks.,neutral,unknown,medium,0.02,english
ANON_0023,this environment is really bad and it's sad.,toxicity,gender,medium,0.5,english
ANON_0024,Is there any update on the results??,neutral,academic,medium,0.02,english
ANON_0025,"Actually, go mind your work don't you think?",aggression,individual,medium,0.55,english
ANON_0026,"Seriously, this is between us only and it's annoying.",exclusion,individual,high,0.47,english
ANON_0027,"Hey, What time is the assignment due?",neutral,gender,medium,0.02,english
ANON_0028,Can we meet after class??,neutral,unknown,medium,0.02,english
ANON_0029,Did anyone finish the assignment??,neutral,gender,medium,0.02,english
ANON_0030,you wont get away with this,threat,individual,medium,0.82,english
ANON_0031,why are you so behind me and it's annoying.,harassment,individual,medium,0.45,english
ANON_0032,"To be honest, dont message me late night - just my opinion.",harassment,individual,medium,0.45,english
ANON_0033,I missed the lecture today.,neutral,unknown,medium,0.02,english
ANON_0034,Is there any update on the results?,neutral,academic,medium,0.02,english
ANON_0035,"[CONTEXT], dont message me late night",harassment,academic,medium,0.45,english
ANON_0036,"Hey, Where can I find the syllabus?",neutral,academic,medium,0.02,english
ANON_0037,you make everything worse - just my opinion.,insult,individual,medium,0.3,english
ANON_0038,Let's work together on this. Thanks.,neutral,unknown,medium,0.02,english
ANON_0039,dont think this will go unnoticed,threat,individual,medium,0.82,english
ANON_0040,Good morning everyone.,neutral,unknown,high,0.07,english
ANON_0041,It's obvious that this is only for selected people and it's sad.,exclusion,individual,medium,0.42,english
ANON_0042,The project deadline is approaching.,neutral,academic,medium,0.02,english
ANON_0043,"Honestly, why do you keep observing me immediately.",stalking,individual,medium,0.62,english
ANON_0044,"Listen, this place feels unhealthy",toxicity,individual,medium,0.5,english
ANON_0045,Can someone share the notes from today??,neutral,academic,medium,0.02,english
ANON_0046,"Hey, Thanks for sharing the slides.",neutral,unknown,medium,0.02,english
ANON_0047,stop talking rubbish,insult,individual,medium,0.3,english
ANON_0048,"[GROUP], your type always ruins things",hate,group,high,0.8,english
ANON_0049,"Look, why are you noticing my movements",stalking,gender,medium,0.62,english
ANON_0050,"Basically, this place is full of nonsense (no offense).",toxicity,individual,low,0.45,english
ANON_0051,stay out of my matters,aggression,individual,medium,0.55,english
ANON_0052,"Look, i told you already dont text me !!!",harassment,appearance,medium,0.45,english
ANON_0053,"Listen, stop forcing conversation",harassment,individual,medium,0.45,english
ANON_0054,"Hey, please remove yourself",exclusion,individual,medium,0.42,english
ANON_0055,"[AUTHORITY], why cant you just stop",harassment,teacher,medium,0.45,english
ANON_0056,"To be honest, use your brain once",insult,individual,medium,0.3,english
ANON_0057,"Just so you know, this chat is exhausting right now.",toxicity,group,medium,0.5,english
ANON_0058,Where can I find the syllabus?,neutral,academic,medium,0.02,english
ANON_0059,"Hey, this environment is really bad",toxicity,gender,medium,0.5,english
ANON_0060,people like you are always the problem,hate,individual,high,0.8,english
