message,label,target_type,severity,severity_score,source
"Xiphher, nee tumba thotha maga tara idiya maga. #95b5",insult,Individual,high,0.67,bad_words
Shut up already 🚨,aggression,teacher,medium,0.6,emoji
"Odhdzutr, mundina sari nodu yen agutte anta, swalpa limit nodu yaar. #1132",threat,Individual,High,0.94,kannada
"Ywyrnska, nee total loser tara idiya dude. #cccd",insult,Individual,High,0.25,kannada
yavdru ivattu notes idre send maadu pls. #6b37,neutral,Individual,Low,0.01,kannada
yavdru ivattu notes idre send maadu pls. #1dd6,neutral,Group,Low,0.0,kannada
Why are you always watching me 🥶,stalking,academic,high,0.8,emoji
i cant stand people like you right now.,hate,individual,medium,0.75,english
I think go away from here,aggression,individual,medium,0.55,english
"People are tired of your fuck attitude, Anfptfpg. #09b0",harassment,Individual,medium,0.74,bad_words
Did anyone finish the assignment? 🙌,neutral,individual,low,0.0,emoji
"Xhr, stop acting like a total twat face every day. #c32c",insult,Individual,medium,0.5,bad_words
"Tatwqoexao, nin dagara nataka nodakke bore aaytu. #25f1",insult,Individual,low,0.29,bad_words
"Look, you are not part of this and it's sad.",exclusion,appearance,medium,0.42,english
"Vmg, nee tumba irritating agthiya re machaa. #b7a3",insult,Individual,Medium,0.27,kannada
Wait and see what happens to you 🥶,threat,teacher,high,0.95,emoji
"ninna presentation super aaytu, chennag ide. #3855",neutral,Group,Low,0.0,kannada
"Ninna saayi behavior nodi everyone frustrate agta idare, Bdlvri. #7ec2",threat,Individual,medium,0.46,bad_words
pizza bekka biryani bekka decide maadi. #66fc,neutral,Individual,Low,0.0,kannada
"Jmd, nee ivattu full lazy mode alli idiya machaa. #1f3a",insult,Individual,Low,0.37,kannada
Is there any update on the results??,neutral,academic,medium,0.02,english
"friends, keep quiet please",aggression,social,medium,0.55,english
"review okay aaytu, tension beda. #e26a",neutral,Unknown,Low,0.0,kannada
"Jbmwj, sir ge complaint haakthini nodu, swalpa limit nodu yaar. #6231",threat,Individual,High,1.0,kannada
"Gyhuogx, elli hogidaroo ade tara madthiya, class nalli full time joker ne anta feel agutte. #3c9a",harassment,Individual,Low,0.54,kannada
You never understand anything 🦠,insult,unknown,low,0.25,emoji
"Seriously, stay in your limits please immediately.",aggression,individual,medium,0.55,codemix
"Wuct, nee full time late bartiya re. #24af",insult,Individual,Low,0.16,kannada
yavdru ivattu notes idre send maadu pls. #b4c1,neutral,Group,Low,0.03,kannada
you are acting childish !!!,insult,individual,medium,0.3,english
"review okay aaytu, tension beda. #f259",neutral,Group,Low,0.02,kannada
"Aobgjsd, nee tumba irritating agthiya re yaar. #3438",insult,Individual,Medium,0.23,kannada
"happy birthday, tumba olle varsha agli. #570e",neutral,Unknown,Low,0.0,kannada
"Mahhwsadv, you are such a bitch in this group. #1c69",sexual_harassment,Individual,high,0.76,bad_words
why do you keep observing me without a doubt.,stalking,individual,medium,0.62,codemix
exam tumba tough aaytu but somehow aaytu. #e520,neutral,Individual,Low,0.07,kannada
"Listen, you asked for it don't you think?",threat,individual,medium,0.82,english
we dont need people like you without a doubt.,hate,individual,medium,0.75,english
"ninna presentation super aaytu, chennag ide. #6e33",neutral,Individual,Low,0.0,kannada
"Jcde, nee yavattu serious agalla dude. #2fac",insult,Individual,Low,0.39,kannada
"Moly, nanna status na yavaglu check madthiya, idu stalking tara kanstide. #9b82",cyberstalking,Individual,Medium,0.59,kannada
"Group nalli a tara ninna hendruna keya maga baribeda, Yibkxhnrn. #c8f7",sexual_harassment,Individual,medium,0.4,bad_words
"Look, this chat is mentally draining thale noovu",toxicity,individual,medium,0.5,codemix
"offline, dont overdo it",aggression,social,medium,0.55,english
I will report you to the admin ❌,threat,appearance,high,0.95,emoji
"Yella dina sakath body tara mathadbeda, Xeysehth. #32f4",harassment,Individual,medium,0.59,bad_words
"Gnvmv, nee tumba irritating agthiya re re. #4676",insult,Individual,Medium,0.26,kannada
"review okay aaytu, tension beda. #63ce",neutral,Unknown,Low,0.04,kannada
"team, plan ge ivananna invite madbeda besseru, ivan illaadre better ansta. #f684",exclusion,Group,Medium,0.34,kannada
"Uvjhuaqpxr, elli hogidaroo ade tara madthiya, yen use illa ninna jothe anta feel agutte. #9cb0",harassment,Individual,Medium,0.48,kannada
Leave this group now 😑,exclusion,gender,high,0.55,emoji
you just dont get it ninige artha illa for sure.,insult,individual,medium,0.3,codemix
"Only a fucking balls will spam the group like you, Qlzvf. #b65a",sexual_harassment,Individual,high,0.44,bad_words
Back off now 🕵️,aggression,gender,low,0.55,emoji
"Honestly, you make everything worse and everyone agrees.",insult,individual,high,0.35,english
go away from here nin hogu,aggression,individual,medium,0.55,codemix
"story, this will not end well for you",threat,social,medium,0.82,english
"Tzgv, yaaru kuda ninna idiot thara nature ishta padalla. #be66",insult,Individual,medium,0.71,bad_words
"Look, this group is too negative period.",toxicity,group,medium,0.5,english
Why are you always watching me 🤣,stalking,individual,high,0.8,emoji
"Ninna saayi behavior nodi everyone frustrate agta idare, Hrzwrmm. #61f4",threat,Individual,high,0.59,bad_words
"Actually, dont keep pinging me for no reason",harassment,individual,medium,0.45,english
"Qdzoot, elli hogidaroo ade tara madthiya, tumba disgusting behaviour anta feel agutte. #c88d",harassment,Individual,High,0.46,kannada
"Cpv, nee complete waste fellow machaa. #fc0e",insult,Individual,High,0.31,kannada
ninne function photos share maadu. #3d5d,neutral,Group,Low,0.03,kannada
"Basically, people here are very problematic",toxicity,individual,medium,0.5,codemix
"batch, ivananna group inda remove maadona, ivan illaadre better ansta. #9fe5",exclusion,Group,Low,0.31,kannada
"class grp, chat nalli ivnanna ide irboda anta ansta, ivan illaadre better ansta. #ec30",exclusion,Group,Medium,0.3,kannada
Everyone knows people like you make everything dirty,hate,individual,high,0.8,english
this chat is mentally draining thale noovu (no offense).,toxicity,individual,low,0.45,codemix
"Just so you know, this group is very disturbing",toxicity,group,medium,0.5,english
"Ivattu kooda haavu bro neenu tara act madtidya, Lyylxtadq. #664c",harassment,Individual,high,0.59,bad_words
"gang, ivananna group inda remove maadona, ivan illaadre better ansta. #f736",exclusion,Group,Medium,0.44,kannada
"Group nalli a tara dagar baribeda, Ueaah. #8784",insult,Individual,high,0.48,bad_words
why do you remember my timings ninige ella gothu (no offense).,stalking,individual,low,0.57,codemix
"Emkjhi, yaaru kuda ninna joker thara nature ishta padalla. #65e4",insult,Individual,high,0.78,bad_words
You never understand anything ⛔,insult,academic,medium,0.3,emoji
I just wanted to say i cant stand people like you nin tara jana right now.,hate,individual,medium,0.75,codemix
I think you just dont get it ninige artha illa ... whatever.,insult,individual,medium,0.3,codemix
"Ivattu kooda sexy baby tara act madtidya, Xgsccdl. #eb46",sexual_harassment,Individual,high,0.77,bad_words
"Ninna sexy bro behavior nodi everyone frustrate agta idare, Gtxuxtkk. #99e5",sexual_harassment,Individual,medium,0.73,bad_words
"Actually, dont involve yourself nin beka illa",exclusion,individual,medium,0.42,codemix
"Uhketdy, nin cry baby maga nataka nodakke bore aaytu. #6803",harassment,Individual,high,0.67,bad_words
"Yella dina gaandu tara mathadbeda, Kyzveqcoh. #bd0d",insult,Individual,low,0.43,bad_words
"Seriously, this space is not safe mentally",toxicity,gender,high,0.55,english
"Xsvq, sir ge complaint haakthini nodu, swalpa limit nodu yaar. #c3dc",threat,Individual,High,0.98,kannada
"Just so you know, mind your own group",exclusion,individual,medium,0.42,english
Can we meet after class? Thanks.,neutral,unknown,medium,0.02,english
ivattu assignment submit maadbeku maga. #7c6b,neutral,Unknown,Low,0.0,kannada
"principal, you will pay for what you did",threat,teacher,medium,0.82,english
nin illade nav decide madidvi and it's sad.,exclusion,individual,medium,0.42,codemix
It's obvious that why are you watching my profile daily,stalking,teacher,medium,0.62,english
It's obvious that we dont want you nin beka illa !!!,exclusion,individual,medium,0.42,codemix
"Fvnhxpzs, nee reply nodoke tumba time togondiya machaa. #e60b",insult,Individual,Low,0.35,kannada
