message,label,target_type,severity,severity_score,explanation
You are really dumb 😒,insult,group,low,0.25,Direct rude or demeaning comment
Leave me alone already 💣,harassment,academic,medium,0.55,Repeated or unwanted contact
People like you are disgusting 💢,hate,individual,high,0.85,Attacking a group or identity
You will regret this 🫥,threat,appearance,high,0.95,Warning of harm or consequences
Nice explanation today 🙌,neutral,academic,low,0.0,Normal conversational message
Everyone here is awful 💩,toxicity,gender,medium,0.4,Generally negative and abusive tone
Did anyone finish the assignment? 🙏,neutral,teacher,low,0.0,Normal conversational message
Nobody wants you here 🤮,exclusion,unknown,high,0.55,Trying to isolate someone
You are really dumb 🕵️,insult,individual,medium,0.3,Direct rude or demeaning comment
You keep tracking my activity 🦠,stalking,unknown,high,0.8,Monitoring or following behaviour
Can someone share the notes please 📝,neutral,individual,low,0.0,Normal conversational message
People like you are disgusting 🕷️,hate,teacher,high,0.85,Attacking a group or identity
You keep tracking my activity 🐘,stalking,academic,high,0.8,Monitoring or following behaviour
You are really dumb 🤡,insult,unknown,medium,0.3,Direct rude or demeaning comment
You are really dumb 💥,insult,gender,medium,0.3,Direct rude or demeaning comment
Back off now 📛,aggression,group,medium,0.6,Hostile or forceful language
Why are you always watching me 🙄,stalking,academic,high,0.8,Monitoring or following behaviour
You never understand anything 🦧,insult,appearance,low,0.25,Direct rude or demeaning comment
Stop texting me again and again 🕵️,harassment,teacher,medium,0.5,Repeated or unwanted contact
Why are you always watching me 🤡,stalking,unknown,high,0.8,Monitoring or following behaviour
Let's meet after class 🙏,neutral,teacher,low,0.0,Normal conversational message
You are really dumb 😂,insult,group,medium,0.3,Direct rude or demeaning comment
Your kind is not welcome here 🐷,hate,teacher,high,0.85,Attacking a group or identity
Why do you keep messaging me 🩸,harassment,teacher,high,0.6,Repeated or unwanted contact
Your kind is not welcome here 💩,hate,group,high,0.85,Attacking a group or identity
Everyone here is awful 🖕,toxicity,unknown,low,0.4,Generally negative and abusive tone
You are really dumb 🦍,insult,unknown,medium,0.3,Direct rude or demeaning comment
That was a stupid answer 🕵️,insult,appearance,medium,0.3,Direct rude or demeaning comment
Everyone here is awful 🕷️,toxicity,unknown,low,0.35,Generally negative and abusive tone
You never understand anything 🩸,insult,unknown,medium,0.3,Direct rude or demeaning comment
Why are you always watching me 😬,stalking,gender,high,0.8,Monitoring or following behaviour
Stop texting me again and again 😡,harassment,academic,high,0.6,Repeated or unwanted contact
This group is so toxic 🫥,toxicity,individual,medium,0.4,Generally negative and abusive tone
This group is so toxic 🐖,toxicity,teacher,low,0.35,Generally negative and abusive tone
This group is so toxic 🤣,toxicity,gender,low,0.35,Generally negative and abusive tone
That was a stupid answer 😹,insult,group,low,0.25,Direct rude or demeaning comment
Wait and see what happens to you 🌈,threat,individual,high,0.95,Warning of harm or consequences
Shut up already 🩸,aggression,unknown,low,0.55,Hostile or forceful language
Leave me alone already 😞,harassment,appearance,medium,0.5,Repeated or unwanted contact
You are not part of this team 🙅,exclusion,group,medium,0.45,Trying to isolate someone
Leave this group now 👀,exclusion,gender,high,0.55,Trying to isolate someone
You are really dumb 💩,insult,individual,medium,0.3,Direct rude or demeaning comment
Nice explanation today 📝,neutral,group,low,0.0,Normal conversational message
You will regret this 🔪,threat,academic,high,1.0,Warning of harm or consequences
Did anyone finish the assignment? 🙂,neutral,individual,low,0.0,Normal conversational message
Why are you always watching me 😈,stalking,group,high,0.8,Monitoring or following behaviour
You are not part of this team 😐,exclusion,group,medium,0.45,Trying to isolate someone
Shut up already 😞,aggression,unknown,medium,0.6,Hostile or forceful language
You will regret this 💥,threat,academic,high,0.95,Warning of harm or consequences
Your kind is not welcome here 🙅,hate,gender,high,0.85,Attacking a group or identity
Back off now ☠️,aggression,academic,low,0.6,Hostile or forceful language
Can someone share the notes please ✨,neutral,unknown,low,0.0,Normal conversational message
You are really dumb 🐘,insult,group,medium,0.3,Direct rude or demeaning comment
Stop texting me again and again 🦛,harassment,teacher,high,0.6,Repeated or unwanted contact
You will regret this 🧊,threat,unknown,high,0.95,Warning of harm or consequences
